Datum	11.05.12	
Probenkennz.	PBT wei§	
Geschwindigkeit	20	mm/min
Kraftmaximum	2359,41	N
Probenhšhe a0	3,95	mm
Probenbreite b0	10,4	mm
LŠnge l0	70	mm
Probenhšhe aU NACH ZUGVERSUCH	3,27	mm
Probenbreite bU NACH ZUGVERSUCH	8,55	mm
LŠnge lU NACH ZUGVERSUCH	76,4	mm
Standardweg	Standardkraft	
mm	N	
6,31957	2316,57	
6,33292	2316,37	
6,34623	2316,37	
6,35958	2316,27	
6,37298	2316,07	
6,38628	2315,91	
6,40039	2315,74	
6,41954	2315,55	
6,43294	2315,41	
6,44625	2315,35	
6,4596	2315,18	
6,47295	2315,02	
6,48626	2314,75	
6,49961	2314,66	
6,51291	2314,49	
6,52707	2314,42	
6,53957	2314,33	
6,55297	2314,16	
6,57293	2314,06	
6,58623	2313,93	
6,59958	2313,7	
6,61289	2313,53	
6,62624	2313,4	
6,63959	2313,24	
6,65294	2313,11	
6,66629	2312,94	
6,6796	2312,78	
6,69956	2312,61	
6,71286	2312,48	
6,72626	2312,45	
6,73966	2312,35	
6,75296	2312,12	
6,76627	2311,99	
6,77953	2311,82	
6,79288	2311,69	
6,80623	2311,49	
6,81963	2311,36	
6,83963	2311,29	
6,85294	2311,16	
6,86629	2311,13	
6,8796	2311	
6,8929	2310,96	
6,90625	2310,93	
6,9196	2310,8	
6,93296	2310,77	
6,94626	2310,6	
6,96626	2310,34	
6,97957	2310,07	
6,99292	2309,98	
7,00627	2309,91	
7,01963	2309,84	
7,03298	2309,74	
7,04623	2309,71	
7,05959	2309,68	
7,07289	2309,61	
7,08624	2309,58	
7,0996	2309,42	
7,1129	2309,38	
7,1263	2309,25	
7,1396	2309,12	
7,15296	2308,99	
7,16621	2308,79	
7,17957	2308,66	
7,19292	2308,59	
7,20632	2308,56	
7,21962	2308,53	
7,23293	2308,49	
7,25288	2308,29	
7,26624	2308,1	
7,27954	2308,03	
7,29289	2308	
7,30624	2307,83	
7,31964	2307,67	
7,33295	2307,5	
7,34621	2307,44	
7,35956	2307,4	
7,37296	2307,4	
7,38631	2307,37	
7,40041	2307,37	
7,41296	2307,27	
7,42627	2307,11	
7,43957	2307,01	
7,45288	2306,91	
7,46623	2306,71	
7,47958	2306,65	
7,49294	2306,65	
7,50629	2306,55	
7,51959	2306,45	
7,5329	2306,48	
7,54705	2306,35	
7,55955	2306,38	
7,57956	2306,32	
7,59296	2306,19	
7,60626	2306,12	
7,61957	2305,92	
7,63287	2305,79	
7,64618	2305,66	
7,65953	2305,62	
7,67297	2305,66	
7,68628	2305,53	
7,69963	2305,43	
7,71289	2305,43	
7,72619	2305,33	
7,73954	2305,2	
7,7596	2305,03	
7,77295	2304,97	
7,7863	2304,9	
7,79956	2304,77	
7,81291	2304,7	
7,82626	2304,57	
7,83957	2304,57	
7,85292	2304,5	
7,86627	2304,54	
7,87962	2304,47	
7,89378	2304,37	
7,90623	2304,24	
7,91958	2304,24	
7,93284	2304,11	
7,94624	2304,01	
7,95959	2303,88	
7,97299	2303,71	
7,9863	2303,65	
7,9996	2303,55	
8,01291	2303,48	
8,02621	2303,42	
8,03956	2303,42	
8,05296	2303,35	
8,06627	2303,25	
8,07957	2303,15	
8,09958	2302,99	
8,11288	2302,92	
8,12623	2302,86	
8,13958	2302,69	
8,15298	2302,49	
8,16624	2302,43	
8,17959	2302,33	
8,1929	2302,3	
8,2062	2302,26	
8,21955	2302,2	
8,23295	2302,13	
8,24711	2302,13	
8,25961	2302,1	
8,27291	2301,97	
8,28627	2301,8	
8,29957	2301,67	
8,31288	2301,41	
8,32628	2301,37	
8,33963	2301,24	
8,35298	2301,18	
8,36624	2301,14	
8,37959	2301,14	
8,39374	2301,08	
8,4062	2300,98	
8,42625	2300,88	
8,4396	2300,85	
8,45295	2300,68	
8,46626	2300,65	
8,47956	2300,38	
8,49287	2300,29	
8,50627	2300,12	
8,51962	2300,05	
8,53292	2300,02	
8,54632	2300,02	
8,55958	2299,92	
8,57289	2299,86	
8,58709	2299,73	
8,59959	2299,66	
8,61289	2299,53	
8,62625	2299,43	
8,63964	2299,2	
8,65295	2298,87	
8,66625	2298,8	
8,67956	2298,8	
8,69291	2298,7	
8,70626	2298,6	
8,71961	2298,54	
8,73297	2298,47	
8,74622	2298,41	
8,75958	2298,34	
8,77288	2298,24	
8,78708	2298,08	
8,79959	2298,01	
8,81959	2297,81	
8,83294	2297,65	
8,8462	2297,55	
8,85955	2297,42	
8,8729	2297,32	
8,88626	2297,19	
8,89956	2297,19	
8,91296	2297,09	
8,92631	2297,09	
8,94042	2296,99	
8,95287	2296,79	
8,96622	2296,63	
8,97953	2296,53	
8,99293	2296,43	
9,00628	2296,33	
9,01963	2296,23	
9,03294	2296,07	
9,0462	2295,87	
9,05959	2295,8	
9,07295	2295,67	
9,09295	2295,54	
9,1063	2295,44	
9,11961	2295,31	
9,13286	2295,11	
9,14622	2294,98	
9,15957	2294,88	
9,17292	2294,75	
9,18627	2294,65	
9,19962	2294,48	
9,21293	2294,32	
9,22623	2294,22	
9,24619	2294,06	
9,25959	2293,86	
9,27294	2293,73	
9,28625	2293,66	
9,2996	2293,5	
9,31295	2293,33	
9,32626	2293,17	
9,33961	2293	
9,35371	2292,9	
9,36626	2292,74	
9,37957	2292,71	
9,39292	2292,64	
9,40623	2292,44	
9,41958	2292,31	
9,43288	2292,18	
9,44623	2292,01	
9,45963	2291,85	
9,47294	2291,75	
9,48629	2291,52	
9,49959	2291,35	
9,51295	2291,22	
9,52625	2291,09	
9,53956	2290,99	
9,55296	2290,89	
9,56626	2290,79	
9,57961	2290,69	
9,59301	2290,5	
9,60627	2290,3	
9,61957	2290,07	
9,63288	2289,84	
9,65298	2289,64	
9,66628	2289,51	
9,67963	2289,34	
9,69294	2289,31	
9,70624	2289,21	
9,71955	2289,08	
9,7329	2288,88	
9,74625	2288,68	
9,7596	2288,59	
9,77296	2288,39	
9,78626	2288,22	
9,79957	2287,93	
9,81287	2287,73	
9,82622	2287,56	
9,83962	2287,4	
9,85293	2287,2	
9,86628	2287	
9,87963	2286,9	
9,89293	2286,77	
9,91289	2286,61	
9,92624	2286,41	
9,9396	2286,21	
9,95295	2286,08	
9,96625	2285,88	
9,9796	2285,69	
9,99291	2285,36	
10,0062	2285,16	
10,0196	2284,99	
10,0329	2284,89	
10,0529	2284,73	
10,0663	2284,56	
10,0796	2284,33	
10,0929	2284,27	
10,1062	2284,1	
10,1196	2283,94	
10,1329	2283,71	
10,1462	2283,44	
10,1596	2283,15	
10,1729	2282,85	
10,1929	2282,62	
10,2063	2282,49	
10,2196	2282,32	
10,233	2282,13	
10,2463	2281,96	
10,2596	2281,73	
10,2729	2281,5	
